Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Centras,Vidaus,Sporto salė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,VYTAUTO PR. 50,"Krepšinis, tinklinis, gimnastika",nėra,Gera,atliekamas einamasis remontas.,"Savivaldybės mokykla ""Startas"" - gimnastika (20 sav. val.), karate klubas RIFAS, mokyklos reuikmėms."
Centras,Lauko,Krepšinio aikštelė,Kauno Maironio universitetinė gimnazija,"Gimnazijos g. 3, Kaunas",bendras fizinis rengimas,nėra,gera,lauko aikštelė neatitinkanti standartų. Įrengta 2010 m.Dalinai renovuota 2017 m.,
Centras,Vidaus,Sporto salė,Kauno Maironio universitetinė gimnazija,"Gimnazijos g. 3, Kaunas",bendras fizinis rengimas,nėra,Renovuotina,,mokyklos reikmėms d.d. 8.00-15.00 val.
Centras,Lauko,"Futbolo vartai, krepšinio lenta, asfaltuotas kiemas",Kauno Senamiesčio progimnazija,Nemuno g. 12,bendras fizinis rengimas,nėra,Patenkinama,1994,mokyklos reikmėns
Centras,Vidaus,Sporto salė,Kauno Senamiesčio progimnazija,Nemuno g. 12,"Judrieji žaidimai, gimnastika",nėra,Renovuota,2018,"mokyklos reikmėms, išnuomota"
Centras,Lauko,Krepšinio aikštelė,Kauno Stepono Dariaus ir Stasio Girėno gimnazija,Miško g. 1 ,"Bendras fizinis rengimas, krepšinis",Nėra,Renovuotina,2006 m. ,Gimnazijos reikmėms nuo rugsėjo 1 d. iki birželio 20 d. d.d nuo 8.00-16.00 val.; išorės naudotojams nuo rugsėjo 1 d. iki birželio 20 d.kiekvieną dieną nuo 16.00-21.00 val.  ir nuo birželio 21 d. iki rugpjūčio 31 d. kiekvieną dieną nuo 9.00-22.00 val.  
Centras,Lauko,Lauko treniruokliai,Kauno Vinco Kudirkos progimnazija,"Trakų g. 39, Kaunas",bendras fizinis rengimas,Yra,Gera,2016 m.,"mokyklos reikmėms d.d. 08.00 - 18.00 val., visomis dienomis mikrorajono bendruomenė 18.00 - 22.00 val. ir savaitgaliais visą parą "
Centras,Lauko,Krepšinio aikštelės,Kauno Vinco Kudirkos progimnazija,"Trakų g. 39, Kaunas",krepšinis,Yra,Gera,2016 m.,"mokyklos reikmėms d.d. 08.00 - 18.00 val.,mikrorajono bendruomenė visomis dienomis  18.00 - 22.00 val. ir savaitgaliais visą parą "
Centras,Vidaus,Sporto salė,Kauno Vinco Kudirkos progimnazija,"Trakų g. 39, Kaunas","Krepšinis,tinklinis",Yra,Gera,2016 m.,"mokyklos reikmėms d.d 08.00-15.00 val., Išnuomota  d.d. ir šeštadeniais iki 13.00 val. Kauno sporto mokykla ""Startas"" tinkliniui 15.00-19.00 val., išnuomota krepšiniui 6 dienos  per sav. 19.00-20.00 val. ir  1 diena 20.00-21.00 val.                                              "
Centras,Vidaus,Sporto salytė,Kauno Vinco Kudirkos progimnazija,"Trakų g. 39, Kaunas","1-4 klasių mokinių  kūno kultūros pamokos, šokiai",Yra,Gera,2016 m.,mokyklos reikmėms d.d. 08.00-18.00 val.
Centras,Vidaus,Plaukimo baseinas,"SM ""Startas""",Miško g. 3,Plaukimas,nėra,Gera,2014 baseino vonios/ filtravimo 2017,mokyklos reikmėms 6:00-18:30 val               Išnuomota/ klientams 6:00-13:00 val ; 18.30-21:30 val. 
Centras,Vidaus,Mažas plaukimo baseinas ,"SM ""Startas""",Miško g. 3,Plaukimas,nėra ,gera ,,mokyklos reikmėms 6:00-18:30 val               Išnuomota/ klientams  18.30-21:30 val. 
Centras,Vidaus,Salės tinklinio salė ,"SM ""Startas""",Miško g. 3,Tinklinis  salės,nėra,Puiki,2018.09.,mokyklos reikmėms 14:30-20:00 val               Išnuomota 8:00-14:30 val; 20:00-21:30 val. 
Centras,Lauko ,Paplūdimio tinklinio aikštelė,"SM ""Startas""",Miško g. 3,Paplūdimio tinklinis ,yra,Renovuotina,,mokyklos reikmėms 9:00-18:00 val               Išnuomota/ klientams  18.00-21:30 val. 
Centras,Vidaus,Gimnastikos salė (didžioji) ,"SM ""Startas""",Miško g. 3,Sportinė gimnastika ,nėra ,Renovuotina,,mokyklos reikmėms 13:00-19:30 val               Išnuomota - 
Centras,Vidaus,Gimnastikos salė (mažoji) ,"SM ""Startas""",Miško g. 3,Sportinė gimnastika ,nėra,Renovuotina,,mokyklos reikmėms 13:00-19:30 val               Išnuomota - 
Centras,Vidaus,Krepšinio salė ,"SM ""Startas""",Miško g. 3,"Meninės gimanstikos treniruotės, varžyboms, tinklinio treniruotėms, varžyboms, krepšinis",nėra,Renovuotina,,mokyklos reikmėms 13:00-20:00 val               Išnuomota -  
Centras,Vidaus,Gydomosios kūno kultūros salė ,"SM ""Startas""",Miško g. 3,"Netaisiklyngos laikysenos, judesio korekcijos treniruotės",nėra,Renovuotina,,mokyklos reikmėms 14:00-18:30 val               Išnuomota/ klientams  10:00-14:00 val. 
Centras,Vidaus ,Meninės gimnastikos salė ,"SM ""Startas""",Miško g. 3,Meninė gimnastika ,nėra ,Renovuotina,,mokyklos reikmėms 14:00-19:30 val               Išnuomota/ klientams  10:00-12:00 val. 
Dainava,Lauko,Krepšinio aikštelė,A.Puškino gimnazija/Choreografijos mokykla,V.KRĖVĖS PR. 50,krepšinis,nėra,"senas asfaltas (1974 m.), senaas stovas, lenta. ",renovacijos nebuvo.,mokyklos reikmėms
